Slice,Count,Total Area,Average Size,%Area,Perim.
00h_B2_250623_Simple Segmentation,2,19,9.500,0.065,10.192
00h_B2_250623_Simple Segmentation,11,94,8.545,0.180,12.263
00h_B2_250623_Simple Segmentation,2,27,13.500,0.092,17.142
00h_B2_250623_Simple Segmentation,14,164,11.714,0.257,14.154
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,2,36,18.000,0.152,22.849
00h_B2_250623_Simple Segmentation,2,24,12.000,0.480,12.364
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,1,16,16.000,0.090,26.627
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,368,4255,11.562,0.660,13.878
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,2,2,1.000,0.006,2.828
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,2,25,12.500,0.140,15.314
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,27,98,3.630,0.097,6.584
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,285,3544,12.435,0.577,14.959
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,124,1308,10.548,0.397,13.588
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,386,4595,11.904,0.650,14.189
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,5,66,13.200,0.076,17.197
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,800,9282,11.602,0.890,13.784
00h_B2_250623_Simple Segmentation,1,3,3.000,0.012,6.243
00h_B2_250623_Simple Segmentation,80,1005,12.562,0.410,14.929
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,2,30,15.000,0.165,19.556
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,3,27,9.000,0.061,14.095
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,2,2,1.000,0.028,2.828
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,7,53,7.571,0.204,9.845
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,4,22,5.500,0.542,6.950
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,2,3,1.500,0.026,3.536
00h_B2_250623_Simple Segmentation,5,53,10.600,0.967,12.348
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,4,30,7.500,0.083,11.607
00h_B2_250623_Simple Segmentation,129,1240,9.612,0.359,12.736
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,5,58,11.600,0.336,12.817
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,2,30,15.000,0.262,23.556
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,2,28,14.000,0.431,15.314
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,4,29,7.250,0.139,11.192
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,2,27,13.500,0.183,15.728
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,23,303,13.174,0.208,16.204
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,36,494,13.722,0.373,15.849
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,4,31,7.750,0.395,9.571
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,5,69,13.800,0.208,15.831
00h_B2_250623_Simple Segmentation,4,35,8.750,0.123,9.485
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,4,38,9.500,0.501,11.692
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,227,2465,10.859,0.536,13.408
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,3,45,15.000,0.317,19.752
00h_B2_250623_Simple Segmentation,13,198,15.231,0.347,16.669
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,4,42,10.500,0.976,10.985
00h_B2_250623_Simple Segmentation,2,17,8.500,0.074,11.192
00h_B2_250623_Simple Segmentation,3,49,16.333,0.102,17.395
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,2,28,14.000,0.585,13.607
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,15,122,8.133,0.185,11.522
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,36,318,8.833,0.187,12.088
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,4,17,4.250,0.049,7.218
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,6,56,9.333,0.365,11.330
00h_B2_250623_Simple Segmentation,469,3965,8.454,0.565,11.276
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,12,106,8.833,0.528,11.388
00h_B2_250623_Simple Segmentation,155,1966,12.684,0.460,15.111
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
00h_B2_250623_Simple Segmentation,3,34,11.333,0.209,14.728
00h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
