Slice,Count,Total Area,Average Size,%Area,Perim.
05h_B2_250623_Simple Segmentation,7,43,6.143,0.148,9.677
05h_B2_250623_Simple Segmentation,37,195,5.270,0.374,8.193
05h_B2_250623_Simple Segmentation,8,45,5.625,0.154,8.644
05h_B2_250623_Simple Segmentation,56,249,4.446,0.389,7.116
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,12,77,6.417,0.325,10.758
05h_B2_250623_Simple Segmentation,5,16,3.200,0.320,6.125
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,8,46,5.750,0.258,8.041
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,1655,10138,6.126,1.574,8.914
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,21,89,4.238,0.270,7.164
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,12,54,4.500,0.302,7.364
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,77,418,5.429,0.412,7.909
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,1433,9024,6.297,1.468,9.000
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,592,3227,5.451,0.980,8.345
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,1811,10940,6.041,1.547,8.793
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,27,179,6.630,0.207,9.391
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,3681,21745,5.907,2.086,8.697
05h_B2_250623_Simple Segmentation,24,91,3.792,0.361,6.431
05h_B2_250623_Simple Segmentation,361,2342,6.488,0.956,9.274
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,16,61,3.812,0.335,6.450
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
05h_B2_250623_Simple Segmentation,0,0,NaN,0.000,NaN
