 ,Area
1,544.936
2,1962.269
3,5235.259
4,430.591
5,740.193
6,12735.855
7,1813.294
8,33054.744
9,51517.106
10,965.616
11,1036.075
12,671.477
13,2227.985
14,448.015
15,618.661
16,496.04
17,518.582
18,953.202
19,1790.098
20,646.213
21,565.844
22,1214.888
23,1557.815
24,420.354
25,1925.243
26,561.271
27,540.797
28,867.715
29,1054.152
30,733.659
31,657.865
32,952.875
33,512.919
34,748.796
35,836.57
36,940.46
37,690.644
38,4062.732
39,5543.119
40,633.798
41,1532.55
42,918.245
43,2248.894
44,520.324
45,915.522
46,1181.783
47,3030.143
48,563.34
49,447.579
50,522.284
51,867.933
52,1222.511
53,696.96
54,438.976
55,796.277
56,701.861
57,505.514
58,447.361
59,1051.43
60,723.858
61,4862.603
62,537.966
63,634.343
64,885.575
65,2177.673
66,479.378
67,878.279
68,2079.337
69,83058.032
70,445.728
71,598.079
72,750.43
73,20587.11
74,581.744
75,718.304
76,2254.448
77,432.442
78,624.106
79,1012.008
80,785.169
81,456.291
82,1282.08
83,450.193
84,1005.583
85,59467.786
86,1259.973
87,61247.539
88,1850.756
89,610.276
90,15420.023
91,4288.482
92,635.976
93,3197.522
94,6417.913
95,540.253
96,457.707
97,1162.943
98,944.054
99,741.718
100,8909.98
101,445.401
102,950.044
103,3192.077
104,455.855
105,746.183
106,2791.978
107,5239.506
108,1191.911
109,728.105
110,567.914
111,1232.421
112,505.623
113,39238.631
114,1784.762
115,2946.507
116,1031.61
117,689.119
118,4362.97
119,1424.521
120,32074.427
121,444.203
122,1227.63
123,912.473
124,1136.045
125,2078.792
126,879.803
127,613.107
128,406.088
129,727.125
130,1329.56
131,780.269
132,620.186
133,33969.831
134,448.886
135,470.775
136,708.612
137,428.413
138,862.488
139,1702.325
140,1887.346
141,740.084
142,2705.185
143,3525.093
144,181827.176
145,458.578
146,607.989
147,478.289
148,828.402
149,649.48
150,2803.739
151,9091.952
152,875.447
153,401.188
154,3447.447
155,727.234
156,643.926
157,1352.647
158,1460.349
159,1329.233
160,1088.891
161,12261.922
162,812.83
163,4577.503
164,433.749
165,1104.682
166,1534.292
167,510.088
168,758.053
169,1442.381
170,606.682
171,1233.619
172,8818.831
173,1411.126
174,1001.989
175,537.53
176,1252.568
177,421.77
178,709.157
179,797.366
180,1855.22
181,956.795
182,1392.613
183,11671.576
184,1649.182
185,499.198
186,449.539
187,580.219
188,60906.9
189,1332.392
190,701.643
191,5583.739
192,751.955
193,820.344
194,2661.189
195,640.659
196,64841.784
197,911.384
198,724.947
199,677.031
200,892.871
201,540.797
202,540.797
203,3496.67
204,1334.57
205,1816.561
206,1043.589
207,594.921
208,520.869
209,901.474
210,1043.807
211,438.976
212,1831.045
213,828.947
214,974.982
215,1474.724
216,1042.718
217,868.695
218,403.91
219,1157.825
220,421.552
221,3028.509
222,3792.443
223,68245.453
224,475.675
225,565.191
226,1896.929
227,4851.495
228,27082.559
229,567.151
230,19609.514
231,672.349
232,418.503
233,667.121
234,406.415
235,994.802
236,1837.47
237,3871.94
238,555.499
239,72204.513
240,637.065
241,2006.047
242,498.871
243,429.937
244,1053.825
245,3693.344
246,1467.428
247,728.105
248,3593.482
249,4033.22
250,27912.704
251,5361.801
252,949.281
253,1318.997
254,1973.704
255,3561.248
256,2398.849
257,96607.914
258,761.211
259,618.661
260,2834.994
261,2362.15
262,4848.881
263,7778.292
264,1365.062
265,1515.452
266,691.842
267,633.036
268,516.077
269,1747.083
270,831.452
271,758.38
272,2331.005
273,459.122
274,683.892
275,2505.789
276,512.81
277,790.723
278,547.549
279,1371.813
280,1672.704
281,904.415
282,1896.494
283,1205.196
284,1025.294
285,703.058
286,89929.186
287,2242.796
288,702.514
289,571.072
290,441.698
291,679.645
292,762.082
293,660.37
294,1578.723
295,1128.64
296,506.821
297,1478.753
298,559.637
299,513.79
300,2190.306
301,610.82
302,505.296
303,1499.117
304,2537.479
305,478.724
306,2221.887
307,717.433
308,637.065
309,43523.193
310,637.065
311,2736.113
312,552.232
313,7504.735
314,748.688
315,3975.83
316,543.193
317,1023.333
318,608.642
319,1134.738
320,60880.22
321,833.521
322,526.096
323,49557.015
324,1485.941
325,1201.712
326,11809.225
327,3069.455
328,3146.883
329,646.213
330,626.175
331,24340.566
332,475.675
333,2052.112
334,938.065
335,665.706
336,518.146
337,1755.032
338,647.193
339,1866.002
340,477.635
341,614.958
342,3828.597
343,1470.803
344,634.125
345,1450.548
346,719.393
347,5269.127
348,1187.119
349,4441.922
350,481.447
351,1938.42
352,846.153
353,1645.152
354,876.536
355,483.407
356,551.579
357,648.717
358,1485.614
359,508.236
360,2059.517
361,4402.609
362,859.874
363,446.272
364,1151.835
365,1137.569
366,44975.483
367,11842.44
368,1028.996
369,522.938
370,1188.208
371,417.523
372,512.048
373,1010.156
374,617.572
375,1248.756
376,493.099
377,539.708
378,2104.275
379,3451.586
380,411.315
381,414.256
382,452.697
383,770.794
384,715.037
385,1842.152
386,744.549
387,1102.068
388,1444.559
389,147584.877
390,759.904
391,762.3
392,414.365
393,880.13
394,1705.374
395,903.543
396,611.582
397,795.297
398,551.143
399,912.255
400,462.607
401,765.349
402,2591.493
403,532.63
404,561.488
405,637.827
406,436.036
407,3082.415
408,844.628
409,919.116
410,466.854
411,493.644
412,1399.147
413,13272.079
414,421.661
415,462.825
416,2292.781
417,788.654
418,1897.583
419,1888.108
420,456.073
421,625.631
422,413.493
423,963.547
424,474.042
425,1618.363
426,2257.279
427,1101.741
428,1649.291
429,406.959
430,3335.389
431,1735.975
432,7223.882
433,3032.647
434,816.532
435,3193.601
436,957.013
437,2864.288
438,659.281
439,624.433
440,835.045
441,20623.047
442,736.6
443,706.87
444,436.036
445,1289.485
446,13058.09
447,1146.935
448,731.699
449,1886.91
450,2100.354
451,797.91
452,594.812
453,2530.836
454,464.241
455,3018.055
456,1482.565
457,24683.601
458,1044.569
459,4794.323
460,620.512
461,976.833
462,1011.137
463,420.354
464,1026.056
465,1468.734
466,105264.811
467,474.151
468,595.465
469,2016.284
470,758.597
471,666.577
472,441.59
473,1440.311
474,119470.054
475,687.704
476,1061.013
477,834.501
478,2312.165
479,2358.883
480,1184.614
481,410.335
482,2946.943
483,114004.472
484,928.264
485,640.55
486,59677.092
487,825.353
488,883.288
489,1654.736
490,1006.781
491,2355.616
492,1004.929
493,581.199
494,449.539
495,501.811
496,102881.752
497,598.623
498,841.144
499,1437.044
500,1985.792
501,1758.626
502,1817.323
503,759.469
504,2031.747
505,1830.936
506,1158.369
507,741.065
508,3579.107
509,672.349
510,1751.221
511,717.542
512,625.304
513,7301.31
514,1019.413
515,519.017
516,1143.777
517,909.424
518,1275.219
519,676.487
520,80175.558
521,898.534
522,880.783
523,3232.914
524,2698.651
525,639.461
526,1060.142
527,4699.906
528,79225.078
529,3106.59
530,791.159
531,1034.441
532,554.954
533,1839.974
534,405.653
535,1467.21
536,793.554
537,716.671
538,411.86
539,448.668
540,837.986
541,1394.682
542,36713.893
543,524.462
544,10288.219
545,1462.2
546,722.878
547,976.615
548,403.366
549,560.399
550,1244.4
551,622.908
552,993.059
553,504.86
554,586.753
555,54523.617
556,501.049
557,6123.012
558,2871.802
559,411.86
560,822.848
561,2570.911
562,739.431
563,408.157
564,844.084
565,646.757
566,713.622
567,619.859
568,1306.038
569,1139.965
570,833.085
571,1999.404
572,15578.799
573,628.244
574,1246.469
575,2093.058
576,1287.525
577,10557.855
578,449.757
579,491.139
580,672.458
581,1829.52
582,2613.6
583,805.751
584,1549.756
585,751.083
586,442.896
587,6414.972
588,3616.569
589,1599.632
590,6378.709
591,4170.434
592,861.944
593,725.601
594,846.044
595,1037.926
596,802.157
597,692.386
598,1741.747
599,8870.123
600,791.159
601,37234.109
602,2891.622
603,1666.823
604,596.119
605,1617.383
606,493.099
607,528.056
608,1094.227
609,816.314
610,960.062
611,52810.512
612,418.612
613,780.269
614,3575.84
615,1193.653
616,1407.75
617,1329.233
618,1192.019
619,1145.41
620,622.908
621,634.125
622,415.562
623,879.694
624,785.822
625,451.935
626,467.617
627,1618.472
628,2034.252
629,2737.31
630,1466.447
631,1303.642
632,2732.41
633,660.152
634,897.989
635,591.218
636,499.851
637,695.218
638,17536.494
639,1122.759
640,1058.508
641,707.306
642,620.839
643,4014.163
644,515.968
645,1374.754
646,409.246
647,575.863
648,10004.099
649,5129.299
650,650.895
651,1466.012
652,611.147
653,48931.602
654,406.742
655,793.119
656,1871.991
657,786.585
658,1225.016
659,1319.541
660,1109.582
661,400.534
662,9697.001
663,2576.683
664,5940.386
665,486.783
666,599.821
667,9411.574
668,1927.421
669,856.281
670,832.867
671,685.743
672,1785.633
673,424.383
674,489.288
675,650.46
676,731.155
677,2089.029
678,1753.943
679,708.503
680,1590.811
681,476.329
682,2377.723
683,771.339
684,1154.667
685,414.256
686,534.481
687,528.601
688,511.286
689,7026.446
690,1309.087
691,5028.458
692,644.579
693,683.456
694,1235.688
695,2377.178
696,14863.979
697,449.539
698,1810.571
699,723.749
700,83192.196
701,570.2
702,1432.58
703,489.288
704,1338.817
705,4273.345
706,452.044
707,453.024
708,540.906
709,400.752
710,683.348
711,148844.959
712,2957.288
713,1228.174
714,489.723
715,920.967
716,599.821
717,596.99
718,3426.647
719,410.771
720,2082.93
721,729.739
722,558.766
723,413.276
724,2152.082
725,617.572
726,2495.77
727,858.677
728,461.518
729,837.005
730,633.798
731,19504.644
732,2347.775
733,6536.178
734,1072.012
735,861.072
736,402.277
737,567.805
738,42621.718
739,1835.727
740,443.332
741,551.687
742,117137.089
743,3206.234
744,983.367
745,713.295
746,438.758
747,483.08
748,1067.982
749,1699.276
750,2028.48
751,1247.667
752,595.792
753,492.446
754,971.17
755,1023.116
756,1144.321
757,1011.245
758,11054.548
759,507.038
760,719.067
761,907.246
762,1272.388
763,592.416
764,465.33
765,1764.507
766,1413.958
767,594.05
768,1066.349
769,420.354
770,426.452
771,906.375
772,848.658
773,1698.84
774,2277.97
775,499.415
776,91057.608
777,652.638
778,693.475
779,407.939
780,586.862
781,542.758
782,878.823
783,130771.37
784,755.004
785,1688.168
786,1483.218
787,618.116
788,2895.107
789,4112.391
790,1031.065
791,11392.792
792,39269.776
793,1900.632
794,445.292
795,625.957
796,1857.943
797,3696.393
798,450.955
799,1167.081
800,557.568
801,738.669
802,670.497
803,2044.162
804,4979.235
805,1503.147
806,1043.915
807,1114.592
808,2209.145
809,44772.929
810,69203.011
811,4174.028
812,135294.749
813,525.443
814,3678.424
815,797.693
816,416.543
817,443.55
818,11349.123
819,658.518
820,2018.244
821,1218.918
822,892.544
823,701.969
824,1489.208
825,1179.605
826,593.614
827,519.562
828,1852.498
829,425.908
830,699.029
831,682.259
832,3834.26
833,1068.854
834,552.559
835,1540.173
836,1419.512
837,6501.984
838,2909.372
839,1391.089
840,441.59
841,661.132
842,675.942
843,1894.533
844,608.315
845,1332.718
846,936.322
847,434.62
848,499.198
849,900.603
850,939.263
851,682.585
852,680.081
853,571.943
854,1639.163
855,730.501
856,836.134
857,1784.435
858,465.439
859,523.7
860,547.331
861,22234.113
862,455.42
863,3268.416
864,1780.297
865,848.113
866,2282.653
867,7185.549
868,647.302
869,1273.912
870,724.185
871,2089.464
872,990.01
873,942.203
874,742.045
875,958.865
876,599.277
877,852.687
878,926.412
879,3734.399
880,1926.223
881,2917.322
882,655.796
883,93871.584
884,5627.408
885,543.193
886,2381.207
887,460.211
888,486.783
889,474.913
890,1884.188
891,446.817
892,445.51
893,1063.082
894,531.868
895,43101.859
896,1442.272
897,1109.909
898,1139.747
899,912.909
900,589.694
901,513.681
902,468.706
903,1013.206
904,1261.607
905,31182.536
906,5888.659
907,424.928
908,765.458
909,483.843
910,873.814
911,1165.23
912,851.38
913,504.316
914,677.249
915,639.352
916,35894.639
917,4515.756
918,738.233
919,636.085
920,2779.564
921,474.042
922,3792.334
923,10296.713
924,896.138
925,507.801
926,510.85
927,849.856
928,1167.408
929,1411.235
930,1319.868
931,727.888
932,1260.191
933,4135.26
934,30752.054
935,2879.207
936,1356.567
937,10173.874
938,412.731
939,1311.047
940,4420.578
941,670.388
942,482.209
943,2602.274
944,2727.836
945,426.235
946,524.789
947,1608.889
948,5372.364
949,2095.889
950,570.854
951,517.384
952,607.553
953,30018.395
954,143363.695
955,669.517
956,699.9
957,754.786
958,501.376
959,631.076
960,1375.625
961,720.265
962,447.579
963,1877.981
964,1191.366
965,859.33
966,826.007
967,1391.198
968,1849.667
969,570.527
970,6807.012
971,1096.405
972,412.949
973,60213.643
974,2082.059
975,1088.238
976,2301.384
977,484.823
978,463.696
979,5157.069
980,700.772
981,1855.983
982,550.054
983,1514.146
984,759.686
985,475.349
986,451.608
987,3895.898
988,927.501
989,457.053
990,2251.508
991,881.219
992,1050.123
993,503.989
994,1370.942
995,742.48
996,1095.534
997,689.555
998,10389.823
999,633.145
1000,90210.693
1001,90486.21
1002,408.048
1003,456.182
1004,18332.335
1005,2045.033
1006,3962.544
1007,464.894
1008,449.757
1009,1121.997
1010,460.538
1011,816.097
1012,4394.66
1013,896.9
1014,3662.525
1015,409.137
1016,905.286
1017,2840.765
1018,2474.753
1019,1524.927
1020,448.015
1021,591.98
1022,702.623
1023,642.946
1024,562.904
1025,438.867
1026,8752.402
1027,1485.287
1028,808.583
1029,1503.147
1030,2350.607
1031,690.753
1032,452.697
1033,3312.847
1034,3382.216
1035,453.133
1036,2124.639
1037,667.884
1038,403.366
1039,436.145
1040,715.582
1041,2541.29
1042,7216.259
1043,1490.188
1044,3374.593
1045,3836.22
1046,707.632
1047,1580.466
1048,1612.591
1049,57033.98
1050,1758.844
1051,455.529
1052,436.907
1053,6433.159
1054,677.467
1055,3225.836
1056,615.83
1057,15185.561
1058,14507.44
1059,579.239
1060,3617.222
1061,4506.935
1062,1087.475
1063,694.238
1064,769.379
1065,679.754
1066,490.595
1067,729.303
1068,685.634
1069,85471.691
1070,12965.416
1071,1162.725
1072,1029.758
1073,699.683
1074,617.027
1075,4698.382
1076,447.797
