 ,Area
486,1248.865
487,46624.447
488,583.377
489,934.798
490,2118.65
491,4237.626
492,603.633
493,2007.245
494,624.65
495,9711.375
496,1592.445
497,67026.753
498,3499.937
499,556.479
500,870.438
501,4087.126
502,917.156
503,1965.536
504,541.451
505,1129.184
506,42682.049
507,481.447
508,72079.605
509,777.764
510,2665.654
511,723.858
512,2026.411
513,838.094
514,464.676
515,822.957
516,61223.255
517,2798.186
518,1144.103
519,1418.967
520,7353.364
521,794.317
522,506.494
523,4920.755
524,780.16
525,90556.668
526,2669.684
527,1313.879
528,472.299
529,1919.036
530,460.647
531,2109.829
532,13264.456
533,20024.75
534,1387.822
535,71996.732
536,2603.255
537,471.319
538,1206.394
539,11731.253
540,5770.502
541,2275.792
542,851.054
543,651.658
544,1601.701
545,3917.569
546,1373.774
547,461.518
548,497.237
549,522.393
550,751.737
551,917.156
552,8255.165
553,907.79
554,751.955
555,858.132
556,837.768
557,589.476
558,428.413
559,19157.688
560,6254.889
561,1545.291
562,436.036
563,1008.196
564,3790.482
565,524.571
566,493.099
567,1312.463
568,448.124
569,975.744
570,679.1
571,1730.748
572,2097.414
573,935.342
574,469.904
575,787.892
576,864.013
577,843.648
578,778.635
579,16034.327
580,734.422
581,435.382
582,597.208
583,1056.221
584,9870.914
585,575.537
586,1335.114
587,2399.829
588,401.297
589,864.013
590,698.594
591,15696.629
592,4263.98
593,414.473
594,15740.624
595,441.154
596,1152.38
597,42853.893
598,693.366
599,3055.516
600,1487.356
601,2459.942
602,981.08
603,674.309
604,2116.254
605,778.853
606,478.289
607,1100.761
608,455.747
609,632.927
610,924.779
611,503.227
612,744.876
613,410.771
614,29721.424
615,666.359
616,426.67
617,816.75
618,2729.361
619,470.993
620,1534.074
621,126187.66
622,1074.516
623,505.841
624,759.904
625,989.139
626,637.392
627,415.454
628,103204.314
629,1500.969
630,103640.568
631,1274.457
632,522.938
633,486.565
634,715.691
635,1717.898
636,1485.614
637,1171.328
638,799.217
639,2429.123
640,845.5
641,430.046
642,9210.218
643,490.921
644,1494.653
645,452.697
646,487.545
647,2690.592
648,1963.794
649,748.143
650,126288.066
651,7010.547
652,1743.489
653,2241.489
654,442.134
655,602.762
656,795.95
657,625.086
658,1122.106
659,2249.983
660,636.847
661,773.952
662,6385.025
663,462.825
664,638.045
665,2012.908
666,649.262
667,561.924
668,54760.257
669,2202.394
670,860.528
671,23438.874
672,660.37
673,427.868
674,424.928
675,2822.144
676,618.116
677,1701.78
678,677.249
679,4183.176
680,5250.396
681,2151.102
682,449.539
683,4082.334
684,28071.262
685,1797.83
686,1502.167
687,1203.781
688,819.799
689,1634.045
690,706.543
691,1350.469
692,1860.665
693,744.44
694,407.939
695,411.642
696,524.245
697,751.519
698,1335.55
699,1450.004
700,1025.838
701,854.538
702,788.436
703,1508.047
704,956.904
705,450.084
706,1221.314
707,1222.729
708,577.388
709,1931.124
710,576.734
711,684.11
712,55558.821
713,442.134
714,1410.037
715,3582.483
716,786.694
717,916.72
718,765.894
719,670.606
720,97281.679
721,955.924
722,4743.14
723,1796.197
724,576.517
725,5174.384
726,589.258
727,894.614
728,572.814
729,1402.414
730,30739.095
731,575.645
732,536.877
733,554.083
734,929.462
735,517.384
736,701.752
737,4345.001
738,699.138
739,90847.976
740,1064.715
741,872.942
742,582.833
743,479.051
744,439.956
745,492.01
746,937.302
747,456.944
748,3767.287
749,493.208
750,499.742
751,13650.506
752,1026.709
753,19348.917
754,1002.969
755,447.252
756,1234.599
757,756.746
758,642.837
759,771.448
760,855.41
761,931.422
762,417.523
763,1066.349
764,496.148
765,789.089
766,575.428
767,1110.018
768,2743.953
769,766.547
770,1889.851
771,7170.194
772,506.494
773,2682.425
774,651.44
775,11950.577
776,827.749
777,425.363
778,1771.585
779,1130.927
780,767.963
781,406.959
782,503.554
783,22969.842
784,447.47
785,1407.206
786,3581.068
787,1179.278
788,405.326
789,1015.166
790,7499.616
791,476.546
792,1153.469
793,509.761
794,5187.452
795,500.178
796,617.245
797,681.714
798,3214.401
799,523.482
800,982.387
801,638.807
802,1478.318
803,481.12
804,624.433
805,719.067
806,458.469
807,682.694
808,41459.102
809,980.971
810,522.938
811,1284.693
812,431.789
813,627.264
814,477.962
815,445.946
816,914.324
817,503.336
818,6594.984
819,3578.999
820,2017.699
821,1427.135
822,710.137
823,791.812
824,900.603
825,2123.55
826,160462.084
827,7771.104
828,2484.989
829,638.807
830,980.536
831,400.97
832,1603.661
833,1598.979
834,1531.787
835,7730.049
836,1652.993
837,1129.402
838,58669.767
839,460.538
840,887.317
841,7618.209
842,618.116
843,2352.131
844,436.036
845,1085.733
846,24663.455
847,426.344
848,1473.962
849,902.345
850,1296.999
851,534.155
852,89366.391
853,1131.362
854,558.221
855,1907.71
856,5725.091
857,1250.825
858,771.23
859,593.614
860,24085.196
861,1681.089
862,828.185
863,827.313
864,504.316
865,650.46
866,1233.728
867,3681.8
868,78587.904
869,918.68
870,922.819
871,732.244
872,822.848
873,532.412
874,635.323
875,777.219
876,1148.133
877,717.433
878,788.436
879,508.019
880,1183.307
881,553.974
882,19085.923
883,992.95
884,522.829
885,474.804
886,928.917
887,514.444
888,1092.158
889,3968.316
890,481.011
891,10989.317
892,5110.568
893,2628.41
894,1229.263
895,1797.286
896,1057.201
897,684.219
898,803.791
899,628.135
900,789.525
901,59893.585
902,11892.207
903,552.232
904,892.762
905,445.401
906,69027.464
907,623.453
908,2994.641
909,1811.552
910,2365.853
911,945.47
912,1604.968
913,677.794
914,642.619
915,1831.916
916,2573.96
917,5571.76
918,1519.046
919,1346.657
920,881.219
921,580.546
922,2810.927
923,62977.742
924,460.647
925,675.398
926,641.53
927,504.425
928,4688.581
929,424.71
930,992.841
931,660.37
932,8295.675
933,42365.912
934,1043.371
935,528.818
936,1009.285
937,403.692
938,1199.207
939,529.472
940,2075.634
941,452.915
942,6257.503
943,777.546
944,796.277
945,4231.636
946,4161.069
947,697.94
948,794.97
949,2924.51
950,699.574
951,2234.519
952,7620.931
953,667.666
954,20973.051
955,458.905
