 ,Area
502,424.383
503,832.323
504,751.192
505,297.515
506,502.247
507,976.18
508,2341.786
509,1831.154
510,2726.856
511,391.604
512,486.565
513,835.916
514,280.2
515,505.841
516,762.409
517,428.739
518,615.721
519,178.16
520,380.932
521,615.394
522,540.58
523,624.433
524,1685.554
525,1243.202
526,437.778
527,1922.738
528,417.74
529,2828.895
530,2962.733
531,2169.832
532,626.828
533,538.837
534,2189.979
535,1650.488
536,468.706
537,461.3
538,679.645
539,598.514
540,1039.015
541,453.786
542,669.626
543,363.617
544,376.467
545,281.615
546,1756.666
547,587.08
548,421.225
549,9769.855
550,344.777
551,2839.894
552,1413.304
553,2554.576
554,162.261
555,946.994
556,40090.337
557,770.794
558,1415.156
559,2872.02
560,510.088
561,66303.112
562,91282.702
563,27060.779
564,327.898
565,10363.251
566,3184.018
567,1886.584
568,739.976
569,379.19
570,240.125
571,1267.16
572,1270.427
573,694.564
574,1322.046
575,2188.019
576,59692.664
577,1180.585
578,334.105
579,524.68
580,1617.056
581,4446.169
582,20163.597
583,802.702
584,26426.872
585,1399.038
586,526.423
587,512.375
588,819.799
589,799.762
590,47084.766
591,5399.698
592,5222.082
593,219.325
594,444.421
595,328.334
596,320.602
597,1925.679
598,481.665
599,1204.216
600,449.757
601,538.728
602,662.548
603,740.738
604,390.08
605,1450.657
606,1988.078
607,89143.798
608,1856.092
609,3515.074
610,713.295
611,350.767
612,1196.375
613,627.046
614,3363.05
615,287.932
616,2361.932
617,1230.788
618,709.484
619,358.39
620,1328.58
621,164462.631
622,1253.003
623,499.198
624,679.427
625,655.578
626,5987.213
627,1320.086
628,1414.72
629,1362.23
630,2586.375
631,303.395
632,273.775
633,1133.649
634,10667.3
635,613.978
636,292.07
637,514.988
638,359.915
639,4193.63
640,788
641,57943.403
642,1825.6
643,817.839
644,2648.121
645,1078.328
646,3238.904
647,136045.939
648,5580.036
649,4265.177
650,677.794
651,752.826
652,577.17
653,509.652
654,2065.724
655,395.525
656,1065.042
657,400.099
658,684.763
659,630.204
660,938.282
661,289.456
662,313.85
663,23595.145
664,909.533
665,413.384
666,828.62
667,2211.65
668,595.574
669,10625.7
670,2766.822
671,1167.626
672,393.347
673,532.63
674,1617.818
675,575.863
676,432.224
677,716.998
678,461.518
679,658.845
680,712.533
681,4493.323
682,378.101
683,448.668
684,1876.238
685,1604.206
686,1440.42
687,915.74
688,1583.951
689,254.935
690,784.625
691,1004.82
692,428.086
693,492.337
694,1717.244
695,426.017
696,21991.811
697,249.708
698,931.966
699,1033.243
700,686.288
701,509.434
702,459.885
703,833.63
704,523.156
705,501.158
706,7602.854
707,492.773
708,1559.666
709,16084.53
710,8416.881
711,383.001
712,185.13
713,1368.764
714,558.221
715,498.326
716,689.555
717,1820.59
718,3003.135
719,684.001
720,955.271
721,301.435
722,725.383
723,1731.292
724,375.487
725,90888.049
726,411.86
727,539.6
728,633.58
729,672.675
730,9978.507
731,430.917
732,1231.877
733,394.218
734,7060.64
735,202.554
736,650.242
737,904.523
