Slice,Count,Total Area,Average Size,%Area,Perim.
18h_B2_200623_Simple Segmentation,33,187,5.667,1.237,8.382
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,10,25,2.500,0.349,5.067
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,22,108,4.909,1.110,7.750
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,485,2575,5.309,2.290,8.025
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,511,2473,4.840,2.420,7.544
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,28,143,5.107,0.883,7.709
18h_B2_200623_Simple Segmentation,80,365,4.562,0.932,7.172
18h_B2_200623_Simple Segmentation,30,227,7.567,1.559,10.136
18h_B2_200623_Simple Segmentation,16,60,3.750,0.550,5.965
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,33,156,4.727,0.448,7.594
18h_B2_200623_Simple Segmentation,169,1149,6.799,2.055,9.359
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,45,269,5.978,0.900,8.813
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,1032,6196,6.004,4.256,8.552
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,18,68,3.778,0.338,6.166
18h_B2_200623_Simple Segmentation,163,927,5.687,1.874,8.557
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,522,2691,5.155,1.913,7.938
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_200623_Simple Segmentation,0,0,NaN,0.000,NaN
