Slice,Count,Total Area,Average Size,%Area,Perim.
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,9,89,9.889,0.246,13.536
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,8,62,7.750,0.664,11.205
03h_B1_300623_Simple Segmentation,8,65,8.125,0.751,12.089
03h_B1_300623_Simple Segmentation,32,263,8.219,0.356,10.647
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,20,118,5.900,0.893,8.047
03h_B1_300623_Simple Segmentation,7,99,14.143,0.454,15.718
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,1101,9638,8.754,0.954,11.535
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,25,291,11.640,0.544,13.533
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,16,132,8.250,0.269,10.983
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,9,82,9.111,0.467,13.352
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
03h_B1_300623_Simple Segmentation,0,0,NaN,0.000,NaN
