Slice,Count,Total Area,Average Size,%Area,Perim.
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,52,367,7.058,0.979,9.509
18h_B2_300623_Simple Segmentation,15,125,8.333,1.000,9.991
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,267,1818,6.809,1.382,9.314
18h_B2_300623_Simple Segmentation,4216,27043,6.414,2.998,8.869
18h_B2_300623_Simple Segmentation,44,292,6.636,0.711,9.318
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,1961,12951,6.604,2.779,8.956
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,278,1828,6.576,1.917,8.947
18h_B2_300623_Simple Segmentation,4,36,9.000,0.932,10.485
18h_B2_300623_Simple Segmentation,8,35,4.375,0.781,6.627
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,54,345,6.389,0.923,9.026
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,10854,67542,6.223,4.066,8.723
18h_B2_300623_Simple Segmentation,5208,34779,6.678,3.260,9.045
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,15,100,6.667,1.472,9.016
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,48,340,7.083,1.619,9.211
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,68,456,6.706,1.281,8.808
18h_B2_300623_Simple Segmentation,49,295,6.020,1.500,8.507
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,24,160,6.667,1.170,9.282
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,21,97,4.619,0.679,7.153
18h_B2_300623_Simple Segmentation,40,285,7.125,0.771,9.622
18h_B2_300623_Simple Segmentation,2092,13477,6.442,2.371,8.910
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,57,481,8.439,1.982,10.353
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,21,110,5.238,0.855,8.084
18h_B2_300623_Simple Segmentation,10,68,6.800,1.450,9.154
18h_B2_300623_Simple Segmentation,7491,46910,6.262,3.404,8.753
18h_B2_300623_Simple Segmentation,19,132,6.947,1.090,8.768
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
18h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
