Slice,Count,Total Area,Average Size,%Area,Perim.
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,64,437,6.828,1.166,9.819
19h_B2_300623_Simple Segmentation,14,128,9.143,1.024,10.367
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,312,2026,6.494,1.541,8.987
19h_B2_300623_Simple Segmentation,4695,29197,6.219,3.237,8.708
19h_B2_300623_Simple Segmentation,58,339,5.845,0.825,8.513
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,2158,13815,6.402,2.964,8.749
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,283,1924,6.799,2.017,9.215
19h_B2_300623_Simple Segmentation,4,34,8.500,0.880,10.485
19h_B2_300623_Simple Segmentation,4,34,8.500,0.759,11.485
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,56,344,6.143,0.920,8.767
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,12397,78886,6.363,4.749,8.853
19h_B2_300623_Simple Segmentation,5635,36897,6.548,3.458,8.980
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,15,101,6.733,1.486,8.827
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,43,323,7.512,1.538,9.959
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,71,449,6.324,1.262,8.738
19h_B2_300623_Simple Segmentation,44,309,7.023,1.571,9.446
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,23,171,7.435,1.250,9.911
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,19,115,6.053,0.804,8.321
19h_B2_300623_Simple Segmentation,48,355,7.396,0.960,9.853
19h_B2_300623_Simple Segmentation,2357,15025,6.375,2.643,8.825
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,66,518,7.848,2.135,9.741
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,19,100,5.263,0.777,8.706
19h_B2_300623_Simple Segmentation,9,72,8.000,1.535,10.458
19h_B2_300623_Simple Segmentation,8561,53241,6.219,3.863,8.710
19h_B2_300623_Simple Segmentation,17,125,7.353,1.032,9.355
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,33,223,6.758,1.304,9.071
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,57,310,5.439,1.070,7.962
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,1762,11167,6.338,2.781,8.781
19h_B2_300623_Simple Segmentation,259,1271,4.907,0.856,7.560
19h_B2_300623_Simple Segmentation,381,2368,6.215,1.804,8.659
19h_B2_300623_Simple Segmentation,11,90,8.182,1.159,10.472
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,26,206,7.923,1.204,10.105
19h_B2_300623_Simple Segmentation,137,993,7.248,1.534,9.379
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,13,90,6.923,1.252,8.827
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,53,323,6.094,1.326,8.558
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,8,79,9.875,0.827,12.412
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,129,839,6.504,1.190,8.927
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,99,716,7.232,1.940,9.351
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,9,45,5.000,0.716,7.239
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,15,123,8.200,0.902,10.147
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,24,137,5.708,1.419,8.321
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,127,829,6.528,1.338,8.725
19h_B2_300623_Simple Segmentation,86,535,6.221,1.525,8.756
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,1,1,1.000,0.007,2.828
19h_B2_300623_Simple Segmentation,1632,10282,6.300,2.396,8.844
19h_B2_300623_Simple Segmentation,25,173,6.920,1.609,9.364
19h_B2_300623_Simple Segmentation,2768,15651,5.654,2.307,8.281
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,50,338,6.760,0.966,8.924
19h_B2_300623_Simple Segmentation,313,1882,6.013,1.571,8.463
19h_B2_300623_Simple Segmentation,124,753,6.073,1.454,8.654
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
19h_B2_300623_Simple Segmentation,0,0,NaN,0.000,NaN
